127.0.0.1 - - [27/May/2017:10:03:22 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:24 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:25 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:25 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:25 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:25 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:26 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:26 +0530] "GET /CollaborationFrontEnd/Views/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:26 +0530] "GET /CollaborationFrontEnd/Views/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:26 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:26 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:27 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:03:27 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/Views/footer.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:47 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 200 46300
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/Views/header.html HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/Views/sign_in_sign_up.html HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [27/May/2017:10:04:49 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:02 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:02 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:02 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:03 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:14 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:15 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:16 +0530] "GET /CollaborationFrontEnd/Views/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:16 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:50 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:50 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:50 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:05:51 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/angular-route.js HTTP/1.1" 200 46300
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [27/May/2017:10:06:16 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 200 864
