127.0.0.1 - - [06/Jun/2017:14:45:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:33 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:34 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:34 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:34 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:34 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:34 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:35 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:45:35 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1432
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:10 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 10694
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/js_pages/sign_in_sign_up.js HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:12 +0530] "GET /CollaborationFrontEnd/resources/images/books1.jpg HTTP/1.1" 200 382241
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:32 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:32 +0530] "POST /CollaborationRestServices/login HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:32 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 5025
0:0:0:0:0:0:0:1 - - [06/Jun/2017:14:46:32 +0530] "GET /CollaborationRestServices/getAllBlog HTTP/1.1" 200 5080
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:37:56 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 1756
0:0:0:0:0:0:0:1 - - [06/Jun/2017:15:38:04 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 1401
