127.0.0.1 - - [31/Oct/2017:18:08:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:30 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:31 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:31 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:31 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:31 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-route.js HTTP/1.1" 200 45008
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_user/UserController.js HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_user/UserService.js HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/lib/js/angular-1.6.4/angular-cookies.js HTTP/1.1" 200 10063
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_job/JobService.js HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:49 +0530] "GET /CollaborationFrontEnd/c_job/JobController.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /CollaborationFrontEnd/home/header.html HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /CollaborationFrontEnd/home/footer.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.html HTTP/1.1" 200 11582
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /CollaborationFrontEnd/lib/js/bootstrap-3.3.7-dist/bootstrap.min.css HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:50 +0530] "GET /CollaborationFrontEnd/c_user/sign_in_sign_up.js HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:08:51 +0530] "GET /CollaborationFrontEnd/resources/images/books.jpg HTTP/1.1" 200 496437
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:02 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 404 293
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "POST /CollaborationRestServices//login HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/home/home.html HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/blogs.jpg HTTP/1.1" 200 67338
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/Chat.png HTTP/1.1" 200 124642
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/forum.jpg HTTP/1.1" 200 396477
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/events.jpg HTTP/1.1" 200 1206332
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/friends.jpg HTTP/1.1" 200 45267
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:04 +0530] "GET /CollaborationFrontEnd/resources/images/jobs.jpg HTTP/1.1" 200 26602
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:15 +0530] "GET /CollaborationFrontEnd/c_blog/blog.html HTTP/1.1" 200 7984
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:16 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:09:22 +0530] "GET /CollaborationRestServices//getAllBlog HTTP/1.1" 200 9471
0:0:0:0:0:0:0:1 - - [31/Oct/2017:18:10:22 +0530] "GET /CollaborationRestServices//getBlogByUserid/15 HTTP/1.1" 200 824
